Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
A,132.82,38150353801,N/A
AAL,12.49,8261522868,N/A
AAP,166.12,10164021262,N/A
AAPL,145.29,2279934460322,N/A
ABBV,139.72,248252188985,N/A
ABC,138.15,29204554649,N/A
ABMD,269.39,11809969979,N/A
ABT,102.51,178809810071,N/A
ACN,270.33,174028782683,N/A
ADBE,297.17,140077367183,N/A
ADI,147.11,77329137747,N/A
ADM,89.39,49062163423,N/A
ADP,234.9,94563200075,N/A
ADSK,198.72,43347832026,N/A
AEE,79.06,20266421313,N/A
AEP,84.81,42977396312,N/A
AES,25.87,17180296870,N/A
AFL,58.13,36657605673,N/A
AIG,50.77,39205685676,N/A
AIV,7.2,1122569961,N/A
AIZ,147.89,7960384951,N/A
AJG,174.94,38494146138,N/A
AKAM,83.41,13621070206,N/A
ALB,273.46,33335707075,N/A
ALGN,211.62,16825766477,N/A
ALK,42.25,5322173269,N/A
ALL,135.93,36090699479,N/A
ALLE,92.86,8312030310,N/A
ALXN,188.8,41325952576,N/A
AMAT,83.3,74321438064,N/A
AMCR,11.11,16193719245,N/A
AMD,60.23,98395215446,N/A
AME,116.81,27980252713,N/A
AMGN,232.71,123215727944,N/A
AMP,279.61,30776059044,N/A
AMT,198.89,91340912198,N/A
AMZN,117.49,1206595806290,N/A
ANET,121.92,35432477917,N/A
ANSS,221.9,19278354887,N/A
ANTM,488.3,117012833239,N/A
AON,286.75,59703737564,N/A
AOS,51.6,6528136824,N/A
APA,42.83,13912632113,N/A
APD,234.1,51442705119,N/A
APH,73.55,42503476985,N/A
APTV,86.33,23227999044,N/A
ARE,139.92,22162464301,N/A
ATO,103.3,14594394727,N/A
ATVI,74.01,59432306428,N/A
AVB,179.77,24186706053,N/A
AVGO,471.31,190750009803,N/A
AVY,166.05,13513394453,N/A
AWK,131.49,23420402240,N/A
AXP,145.0,108034673285,N/A
AZO,2220.0,44301549096,N/A
BA,133.82,78476462032,N/A
BAC,32.0,249319725545,N/A
BAX,55.91,28546715659,N/A
BBY,66.98,14886702265,N/A
BDX,223.15,64724629627,N/A
BEN,22.89,11233634799,N/A
BF.B,66.53,31980318850,N/A
BIIB,263.84,39289183877,N/A
BIO,432.67,12954015089,N/A
BK,40.19,32234283639,N/A
BKNG,1688.9,69928962203,N/A
BKR,23.96,23346386496,N/A
BLK,550.4,85380424786,N/A
BLL,70.47,23236017288,N/A
BMY,71.9,153445537394,N/A
BR,144.66,22791700576,N/A
BRK.B,269.26,604069680091,N/A
BSX,40.11,59620763480,N/A
BWA,34.8,8302581408,N/A
BXP,74.48,11227604645,N/A
C,42.32,84487069444,N/A
CAG,34.45,16264307540,N/A
CAH,70.83,18294110185,N/A
CARR,35.62,31183174218,N/A
CAT,185.02,94275871209,N/A
CB,191.02,80742285902,N/A
CBOE,124.68,12707826275,N/A
CBRE,72.81,22938413206,N/A
CCI,134.71,60592779933,N/A
CCL,6.82,7581469428,N/A
CDNS,161.3,44881907187,N/A
CDW,162.7,21766545993,N/A
CE,92.32,10008783730,N/A
CERN,98.43,28293611142,N/A
CF,107.6,21126781701,N/A
CFG,35.5,17804364893,N/A
CHD,72.41,17452004796,N/A
CHRW,98.84,12081834503,N/A
CHTR,316.25,51103605437,N/A
CI,297.05,90744214773,N/A
CINF,98.47,15208754990,N/A
CL,72.25,59273252592,N/A
CLX,129.51,15546289758,N/A
CMA,75.36,9530814888,N/A
CMCSA,30.11,131998680569,N/A
CME,176.04,61428739919,N/A
CMG,1514.82,41262661759,N/A
CMI,228.12,32143987846,N/A
CMS,56.54,16404856989,N/A
CNC,76.05,43990378515,N/A
CNP,27.01,17578535654,N/A
COF,93.96,36267703796,N/A
COG,23.09,9059907656,N/A
COO,273.18,13262002541,N/A
COP,121.3,157004897422,N/A
COST,470.39,208967389650,N/A
COTY,6.43,5443232753,N/A
CPB,46.72,14055682411,N/A
CPRT,111.18,27315372723,N/A
CRM,153.21,152491176572,N/A
CSCO,41.6,168777777314,N/A
CSX,27.72,58397490680,N/A
CTAS,406.48,41590457528,N/A
CTL,12.0,12237276567,N/A
CTSH,59.26,30448394255,N/A
CTVA,61.36,45829856046,N/A
CTXS,103.9,13498101070,N/A
CVS,88.94,117329153241,N/A
CVX,165.03,320933234664,N/A
CXO,66.3,13282295353,N/A
D,64.8,55434053996,N/A
DAL,30.18,19662294975,N/A
DD,54.36,26405433399,N/A
DE,368.55,108836421759,N/A
DFS,95.8,25808815894,N/A
DG,249.8,54642037888,N/A
DGX,125.3,14951650345,N/A
DHI,73.47,25450696080,N/A
DHR,274.85,201138833908,N/A
DIS,97.27,179908257361,N/A
DISCK,24.81,,N/A
DISH,14.63,4194170162,N/A
DLR,96.7,26995595035,N/A
DLTR,147.91,31934758112,N/A
DOV,124.44,17958015167,N/A
DOW,44.78,32347005779,N/A
DPZ,318.0,11712125405,N/A
DRE,50.3,19478231733,N/A
DRI,129.18,15927035170,N/A
DTE,112.82,21865481037,N/A
DUK,89.2,71590675031,N/A
DVA,90.1,8170340993,N/A
DVN,72.64,47756019217,N/A
DXC,26.76,6378558185,N/A
DXCM,104.63,40966234194,N/A
EA,122.51,35439044175,N/A
EBAY,38.71,20807767415,N/A
ECL,144.49,41938515144,N/A
ED,85.34,29527012861,N/A
EFX,177.2,20869755927,N/A
EIX,58.88,22871801244,N/A
EL,223.4,53219121180,N/A
EMN,75.43,9089362768,N/A
EMR,79.52,47547131252,N/A
EOG,128.27,75819039027,N/A
EQIX,549.51,51708978803,N/A
EQR,62.98,23704343257,N/A
ES,74.42,26140702998,N/A
ESS,222.78,14921631491,N/A
ETFC,51.34,10946077270,N/A
ETN,141.94,55158068055,N/A
ETR,102.62,21153809434,N/A
EVRG,57.87,13643677571,N/A
EW,86.37,52563315199,N/A
EXC,37.55,37775217740,N/A
EXPD,92.6,15020674852,N/A
EXPE,97.81,14342291688,N/A
EXR,173.12,22880749094,N/A
F,12.6,49217288793,N/A
FANG,146.4,24803857544,N/A
FAST,46.88,27587063954,N/A
FB,205.06,586627382855,N/A
FBHS,56.79,7418451883,N/A
FCX,29.87,42080427175,N/A
FDX,158.57,40345265312,N/A
FE,37.5,21627566050,N/A
FFIV,149.78,8761345276,N/A
FIS,79.1,48294611727,N/A
FISV,103.3,63733454978,N/A
FITB,34.3,22893770843,N/A
FLIR,60.13,7842285949,N/A
FLS,26.21,3441631845,N/A
FLT,181.34,13504257988,N/A
FMC,112.57,14209804223,N/A
FOX,29.42,17019351785,N/A
FOXA,32.23,17297467673,N/A
FRC,143.2,24837653661,N/A
FRT,94.06,7453088000,N/A
FTI,9.56,4357437469,N/A
FTNT,53.69,41867505026,N/A
FTV,61.86,21924931301,N/A
GD,228.98,62318754283,N/A
GE,66.73,72536184117,N/A
GILD,64.66,83824858632,N/A
GIS,78.36,44774659087,N/A
GL,106.07,10739453940,N/A
GLW,30.83,25953781773,N/A
GM,35.11,51407122668,N/A
GOOG,102.83,1206602743090,N/A
GOOGL,98.79,1215082160039,N/A
GPC,155.65,22307230614,N/A
GPN,114.86,31998159318,N/A
GPS,9.88,3564516930,N/A
GRMN,79.9,15721343976,N/A
GS,303.91,105254786739,N/A
GWW,518.74,26563362513,N/A
HAL,30.92,27960037734,N/A
HAS,69.58,9803089703,N/A
HBAN,13.39,19070280013,N/A
HBI,7.42,2587044520,N/A
HCA,205.47,58634478579,N/A
HD,292.31,297066393733,N/A
HES,133.8,40865837995,N/A
HIG,64.18,21419657961,N/A
HII,241.91,9446302884,N/A
HLT,125.39,33470599316,N/A
HOLX,63.91,16517650475,N/A
HON,176.95,115900231025,N/A
HPE,12.5,16622911614,N/A
HPQ,25.51,25941308434,N/A
HRB,39.87,6242437840,N/A
HRL,44.75,24765602862,N/A
HSIC,70.24,9647367256,N/A
HST,16.5,11792429112,N/A
HSY,221.21,32425825547,N/A
HUM,523.92,65338369806,N/A
HWM,33.13,13526095957,N/A
IBM,119.9,109359433971,N/A
ICE,94.27,52143080853,N/A
IDXX,338.29,28639740120,N/A
IEX,205.15,15395305938,N/A
IFF,88.7,22975413759,N/A
ILMN,210.76,33261779462,N/A
INCY,70.11,15360528524,N/A
INFO,112.43,47884516868,N/A
INTC,26.79,108077063590,N/A
INTU,394.74,111469136376,N/A
IP,32.63,11501767711,N/A
IPG,26.52,10384735127,N/A
IPGP,89.35,4409935767,N/A
IQV,185.98,34755164444,N/A
IR,46.29,18607023439,N/A
IRM,47.68,13507104807,N/A
ISRG,189.29,69964381670,N/A
IT,298.59,23776419926,N/A
ITW,189.96,59996239252,N/A
IVZ,14.8,6680773078,N/A
J,116.07,0,N/A
JBHT,166.68,16737755794,N/A
JCI,52.19,35354567385,N/A
JKHY,188.48,13627058749,N/A
JNJ,160.5,421659380605,N/A
JNPR,26.83,8627599138,N/A
JPM,105.99,312612340267,N/A
K,70.62,23933329135,N/A
KEY,16.26,15259833490,N/A
KEYS,166.28,28918046312,N/A
KHC,34.68,41516931206,N/A
KIM,18.95,11832193660,N/A
KLAC,323.93,46380726959,N/A
KMB,113.98,37565126477,N/A
KMI,17.77,40181564958,N/A
KMX,63.5,9930026862,N/A
KO,54.79,238708932784,N/A
KR,43.0,31204786039,N/A
KSS,27.95,3219651272,N/A
KSU,295.91,27833896524,N/A
L,51.6,12597208434,N/A
LB,83.26,22752987908,N/A
LDOS,91.45,12782548566,N/A
LEG,34.33,4635546291,N/A
LEN,81.59,22247567622,N/A
LH,206.2,19379720846,N/A
LHX,230.72,43513158869,N/A
LIN,283.1,140735871768,N/A
LKQ,50.49,13663630172,N/A
LLY,327.42,311714679273,N/A
LMT,407.08,112390539927,N/A
LNC,48.4,8261167798,N/A
LNT,51.14,12911987917,N/A
LOW,204.7,122728968960,N/A
LRCX,384.33,52706233187,N/A
LUV,33.4,19703014596,N/A
LVS,42.9,33708170820,N/A
LW,85.76,12113645584,N/A
LYB,79.84,25821676645,N/A
LYV,81.83,18556659959,N/A
MA,304.13,295331095490,N/A
MAA,151.29,17244416580,N/A
MAR,142.1,46862502551,N/A
MAS,49.13,11143665413,N/A
MCD,236.3,176622629218,N/A
MCHP,66.73,35689781676,N/A
MCK,361.45,52316525765,N/A
MCO,253.35,47112458541,N/A
MDLZ,56.11,76088833464,N/A
MDT,85.31,112346309677,N/A
MET,66.19,53359072201,N/A
MGM,32.73,13248375691,N/A
MHK,97.57,6295415473,N/A
MKC,74.05,20077901199,N/A
MKTX,236.53,9261430504,N/A
MLM,326.22,20793654146,N/A
MMC,152.93,78003702499,N/A
MMM,108.58,62462155165,N/A
MNST,92.05,49524946519,N/A
MO,43.49,80494265803,N/A
MOS,51.28,19031657065,N/A
MPC,111.25,53520137302,N/A
MRK,89.6,230336056848,N/A
MRO,28.47,19796356162,N/A
MS,80.23,137081583064,N/A
MSCI,431.31,33918537623,N/A
MSFT,235.95,1826520067618,N/A
