Symbol,Name,Price,P/E,P/B,P/S,Volume,EV/EBITDA,EV/Gross_Profit,PE Percentile,PB Percentile,PS Percentile,EV/EBITDA Percentile,EV/Gross_Profit Percentile,RV Score
GTE,Gran Tierra Energy Inc.,0.87,2.23166844,0.69633842,0.43604233000000003,6626700,1.645045102795912,2.290475446686385,2.7649769585253456,7.8341013824884795,12.903225806451612,5.990783410138249,18.433179723502302,9.585253456221198
ASTL,Algoma Steel Group Inc.,9.06,4.03650369,1.07340312,0.44633924,2656893,1.188925275379577,0.48616396523332106,7.8341013824884795,22.119815668202765,14.746543778801843,4.147465437788019,4.147465437788019,10.599078341013826
LC,LendingClub Corporation,9.4,3.38983051,0.85289251,0.76853036,1769548,0.032379695740281,0.013617403059434001,5.990783410138249,15.668202764976959,30.4147465437788,2.304147465437788,3.686635944700461,11.612903225806452
GIII,"G-III Apparel Group, LTD.",17.12,4.6544507,0.52931337,0.30051047000000003,522353,5.816671793294371,1.9883235144389282,12.442396313364055,3.686635944700461,6.912442396313364,26.72811059907834,13.36405529953917,12.626728110599078
HOUS,Anywhere Real Estate Inc.,5.6,3.07268722,0.29760444,0.08401804,1500239,6.423415007656968,3.091002210759027,3.686635944700461,1.3824884792626728,0.4608294930875576,29.953917050691246,29.493087557603687,12.995391705069125
SWN,Southwestern Energy Company,5.67,3.21717412,1.37618413,0.40143493,27492164,1.282817066043249,1.403388746803069,5.0691244239631335,38.24884792626728,10.599078341013826,5.0691244239631335,7.8341013824884795,13.36405529953917
TPH,"Tri Pointe Homes, Inc.",24.21,4.23877917,0.84205526,0.56467922,935848,3.065990929328793,2.12111213289647,9.67741935483871,14.746543778801843,22.119815668202765,9.67741935483871,15.2073732718894,14.285714285714286
JOB,GEE Group Inc.,0.438,13.60645161,0.47795492,0.29350139000000003,307850,3.703733357322778,0.7118278640340261,47.465437788018434,3.225806451612903,5.990783410138249,13.824884792626728,4.608294930875576,15.023041474654377
BTU,Peabody Energy Corporation,28.03,3.48557692,1.22688841,0.79289284,3619173,1.6157616713463092,1.873007116456115,6.451612903225806,30.4147465437788,30.87557603686636,5.529953917050691,12.442396313364055,17.142857142857142
M,Macy's Inc,22.66,5.41326847,1.5086996099999999,0.25216242,10991557,4.539109885781804,1.152595259525952,17.972350230414747,45.6221198156682,5.0691244239631335,19.35483870967742,5.990783410138249,18.80184331797235
TALO,"Talos Energy, Inc.",16.67,3.54344573,1.1405368,0.8155645300000001,1567691,1.920175281584163,2.664091287976775,6.912442396313364,24.88479262672811,32.71889400921659,6.451612903225806,25.806451612903224,19.35483870967742
CMRX,"Chimerix, Inc.",1.63,0.86308156,0.57935441,4.43565777,1081183,0.841430680668226,-1.519627288252389,1.3824884792626728,4.147465437788019,85.71428571428571,3.225806451612903,2.7649769585253456,19.44700460829493
SWBI,"Smith & Wesson Brands, Inc.",11.11,6.2678561,1.35975775,0.59375137,365356,3.633043259099533,1.4030525063537551,22.119815668202765,37.327188940092164,23.963133640552996,13.36405529953917,7.373271889400922,20.829493087557605
DHC,Diversified Healthcare Trust,1.65,0.84896461,0.13285517,0.35798078,7557283,22.771772015858826,-6.650866753183722,0.9216589861751152,0.4608294930875576,10.138248847926267,91.70506912442396,2.304147465437788,21.105990783410135
VSTO,Vista Outdoor Inc.,29.01,4.18520253,1.42678261,0.55551026,414463,4.188992215496445,2.373245633014554,9.216589861751151,39.63133640552996,21.658986175115206,17.972350230414747,20.276497695852534,21.75115207373272
CCRN,"Cross Country Healthcare, Inc.",25.59,5.11403316,2.03498943,0.34277938,652931,3.839029074997125,1.845637365674432,15.2073732718894,59.90783410138249,8.755760368663594,14.746543778801843,11.52073732718894,22.027649769585253
REZI,"Resideo Technologies, Inc.",18.77,9.85530124,1.08293314,0.43811146,511284,5.059527027027027,2.162940496822646,37.327188940092164,23.04147465437788,13.36405529953917,22.119815668202765,17.05069124423963,22.58064516129032
ZEV,"Lightning eMotors, Inc",0.6722,1.13528437,1.8363701300000002,1.77060138,1264956,-1.5540544624777102,-17.159686300684132,1.8433179723502304,53.91705069124424,56.68202764976959,1.8433179723502304,1.8433179723502304,23.225806451612904
AR,Antero Resources Corporation,27.3,4.5439703,1.16398035,0.99433238,5516251,2.910023208664726,3.238554140403895,11.52073732718894,27.649769585253456,39.63133640552996,8.294930875576037,30.87557603686636,23.59447004608295
CRK,"Comstock Resources, Inc.",13.17,3.08515426,1.50311098,0.9437332700000001,7542049,2.163890247309694,2.579918691549316,4.147465437788019,45.16129032258065,38.24884792626728,7.373271889400922,23.502304147465438,23.686635944700463
TK,Teekay Corporation,6.41,8.2606397,0.98560698,0.54831646,1594255,3.871844311914264,4.41993079301378,29.032258064516128,19.35483870967742,20.737327188940093,15.668202764976959,44.23963133640553,25.806451612903224
DBI,Designer Brands Inc.,10.08,5.51892281,1.77168401,0.24075373,1408260,7.694960468845027,2.083832021537715,19.35483870967742,51.61290322580645,4.608294930875576,40.09216589861751,14.746543778801843,26.082949308755758
DRS,"Leonardo DRS, Inc.",13.03,4.7481751800000005,1.1842118400000001,0.65524488,409920,6.48886925795053,3.413289962825279,12.903225806451612,29.032258064516128,26.72811059907834,30.87557603686636,32.25806451612903,26.359447004608295
VIR,"Vir Biotechnology, Inc.",22.84,5.92924763,1.44972791,1.88642177,858272,1.276762986706891,0.74513097099972,21.19815668202765,41.474654377880185,59.44700460829493,4.608294930875576,5.0691244239631335,26.359447004608295
CBIO,"Catalyst Biosciences, Inc.",0.23670000000000002,0.6485622999999999,0.18621575,1.01719024,906584,0.16526840935446402,20.604789156626506,0.4608294930875576,0.9216589861751152,40.09216589861751,2.7649769585253456,91.2442396313364,27.096774193548384
GNK,Genco Shipping & Trading Limited,19.58,5.29122009,0.85535265,1.56257184,1569206,3.371433215740199,3.910244782325126,17.05069124423963,16.129032258064516,52.995391705069125,11.981566820276498,37.327188940092164,27.096774193548388
ACI,"Albertsons Companies, Inc.",20.08,8.73483383,3.20763245,0.13137578,5447924,4.553731133307877,1.180946821429874,30.87557603686636,78.3410138248848,1.8433179723502304,19.81566820276498,6.451612903225806,27.465437788018434
VTRS,Viatris Inc.,11.13,6.52518028,0.64110318,0.83776931,9855139,5.846933333333333,4.753622104932641,23.04147465437788,6.451612903225806,34.56221198156682,27.649769585253456,46.08294930875576,27.557603686635943
EGY,"VAALCO Energy, Inc.",5.19,4.36612309,2.02322237,1.4697973100000001,1666389,0.929081360028113,2.027705109212973,10.138248847926267,58.525345622119815,51.1520737327189,3.686635944700461,14.285714285714286,27.557603686635947
EZPW,"EZCORP, Inc.",9.06,13.88888889,0.7254557500000001,0.82750994,345011,6.341064914386207,2.151763987201793,48.38709677419355,10.138248847926267,34.10138248847926,29.493087557603687,16.589861751152075,27.741935483870968
PARA,Paramount Global,22.59,13.88371226,0.63064334,0.48177688,7552425,8.009737484737485,2.649424474959612,47.92626728110599,5.990783410138249,17.51152073732719,44.23963133640553,25.34562211981567,28.202764976958527
REI,"Ring Energy, Inc.",2.3,2.0862569,0.74321937,1.37673238,2154706,4.066042601565543,6.4986299428675025,2.304147465437788,11.059907834101383,49.30875576036866,16.589861751152075,62.21198156682028,28.294930875576036
DISH,DISH Network Corporation,11.23,3.0373444,0.32500602,0.41952596000000003,6881807,11.229290931933853,6.757100830077327,3.225806451612903,1.8433179723502304,11.981566820276498,63.133640552995395,64.0552995391705,28.847926267281107
VSH,"Vishay Intertechnology, Inc.",21.72,7.26662189,1.53353256,0.8904671200000001,697377,3.075490473739832,2.639015889016126,25.806451612903224,46.08294930875576,36.866359447004605,11.059907834101383,24.88479262672811,28.940092165898616
ARLP,"Alliance Resource Partners, L.P.",21.18,4.76005839,1.6437225500000001,1.10307587,468604,2.970619028428005,3.755467104490333,13.36405529953917,47.465437788018434,41.013824884792626,8.755760368663594,36.40552995391705,29.400921658986174
CAL,"Caleres, Inc.",26.54,5.67649964,3.12356389,0.35310714,380480,6.545496145099562,1.561664637535399,20.737327188940093,77.88018433179724,9.67741935483871,32.25806451612903,9.216589861751151,29.953917050691246
SKYW,"SkyWest, Inc.",20.83,14.226231779999999,0.44183586,0.34550014,746900,5.782002869480332,6.6668001850564895,48.8479262672811,2.7649769585253456,9.216589861751151,26.267281105990783,63.133640552995395,30.046082949308754
SXC,"SunCoke Energy, Inc.",10.31,8.47116111,1.43719296,0.43275741,946228,4.124307900067522,5.427010217681031,30.4147465437788,40.55299539170507,12.442396313364055,17.05069124423963,51.1520737327189,30.32258064516129
LEV,The Lion Electric Company,2.31,8.74704492,1.144094,6.24125509,726697,-9.18314354913737,-176.385255766159,31.336405529953918,25.806451612903224,93.08755760368663,0.9216589861751152,0.9216589861751152,30.4147465437788
