Symbol,Name,Price,Volume,P/E,PE Percentile,P/B,PB Percentile,P/S,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/Revenue,EV/Revenue Percentile,RV Score
A,Agilent Technologies Inc. Common Stock,140.21,674929,30.97,,7.25,,5.92,,21.36,,6.12,,
AA,Alcoa Corporation Common Stock ,51.69,2153855,,,1.72,,0.71,,6.48,,0.74,,
AAIC,Arlington Asset Investment Corp Class A (new),3.0225,18985,60.8,,0.48,,3.07,,,,,,
AAMC,Altisource Asset Management Corp Com,54.9,6025,0.14,,,,,,1.35,,1.59,,
AAME,Atlantic American Corporation Common Stock,2.54,512,17.14,,0.5,,0.25,,,,0.32,,
AAN,Aarons Holdings Company Inc. Common Stock ,12.7,349004,26.2,,0.62,,0.21,,1.91,,0.56,,
AAOI,Applied Optoelectronics Inc. Common Stock,2.72,50265,,,0.4,,0.32,,-3.53,,0.95,,
AAON,AAON Inc. Common Stock,90.285,78945,65.19,,8.28,,5.7,,30.2,,5.55,,
AAP,Advance Auto Parts Inc.,137.65,480281,16.79,,3.07,,0.76,,11.8,,1.04,,
AAPL,Apple Inc. Common Stock,144.485,19134996,25.03,,41.11,,6.16,,18.68,,6.17,,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,100.32,132075,9.67,,0.95,,0.76,,5.2,,1.01,,
AB,AllianceBernstein Holding L.P.  Units,37.99,78031,14.44,,2.13,,12.94,,,,,,
ABB,ABB Ltd Common Stock,33.46,504695,25.23,,4.86,,2.16,,18.73,,2.24,,
ABBV,AbbVie Inc. Common Stock,155.081,1452803,23.21,,15.78,,4.71,,13.5,,5.62,,
ABCB,Ameris Bancorp Common Stock,46.64,37772,9.59,,1.04,,3.06,,,,,,
ABEO,Abeona Therapeutics Inc. Common Stock,2.285,48888,,,2.56,,2.94,,-0.37,,6.82,,
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),2.5125,16464269,16.36,,2.36,,2.71,,1.74,,0.47,,
ABG,Asbury Automotive Group Inc Common Stock,231.59,25564,5.09,,1.9,,0.33,,5.47,,0.55,,
ABIO,ARCA biopharma Inc. Common Stock,2.22,2880,,,0.75,,,,1.0,,,,
ABM,ABM Industries Incorporated Common Stock,48.295,36118,14.17,,1.86,,0.42,,9.76,,0.58,,
ABNB,Airbnb Inc. Class A Common Stock,121.2,1689517,43.31,,13.72,,9.78,,32.95,,8.22,,
ABOS,Acumen Pharmaceuticals Inc. Common Stock,5.32,2290,4.26,,1.1,,,,-0.41,,,,
ABR,Arbor Realty Trust Common Stock,14.742,1475618,8.98,,1.17,,4.82,,,,,,
ABSI,Absci Corporation Common Stock,2.05,165961,,,0.63,,32.27,,-0.27,,4.7,,
ABST,Absolute Software Corporation Common Stock,8.32,13385,,,,,2.07,,36.3,,3.13,,
ABT,Abbott Laboratories Common Stock,101.64,1916762,26.02,,4.82,,4.11,,15.19,,4.22,,
ABUS,Arbutus Biopharma Corporation Common Stock,2.745,150828,,,2.97,,11.07,,-4.91,,8.31,,
ABVC,ABVC BioPharma Inc. Common Stock,0.65,28738,,,4.03,,63.16,,-1.38,,71.1,,
AC,Associated Capital Group Inc. Common Stock,36.39,1637,,,0.89,,52.3,,-34.69,,25.66,,
ACA,Arcosa Inc. Common Stock ,61.36,99262,27.91,,1.37,,1.23,,6.74,,1.51,,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,20.345,591583,,,8.48,,6.54,,-13.72,,5.88,,
ACB,Aurora Cannabis Inc. Common Shares,0.8126,1496904,,,0.68,,1.44,,-0.16,,1.22,,
ACCO,Acco Brands Corporation Common Stock,5.5625,119085,25.77,,0.68,,0.27,,11.62,,0.83,,
ACDC,ProFrac Holding Corp. Class A Common Stock,19.7,59535,87.82,,,,0.42,,3.15,,0.86,,
ACER,Acer Therapeutics Inc. Common Stock (DE),2.015,33702,,,,,97.44,,-1.98,,130.44,,
ACGL,Arch Capital Group Ltd. Common Stock,70.695,589694,18.68,,2.18,,2.78,,,,3.02,,
ACGN,Aceragen Inc. Common Stock,4.13,4587,,,2.05,,319.4,,-0.72,,332.75,,
ACHR,Archer Aviation Inc. Class A Common Stock,2.86,298120,6.74,,1.27,,,,-0.33,,,,
ACI,Albertsons Companies Inc. Class A Common Stock,19.99,2396675,8.04,,13.82,,0.13,,4.4,,0.29,,
ACIW,ACI Worldwide Inc. Common Stock,26.015,194138,20.81,,2.43,,2.07,,9.4,,2.72,,
ACLS,Axcelis Technologies Inc. Common Stock,126.06,1425625,23.54,,6.3,,4.69,,17.2,,4.15,,
ACLX,Arcellx Inc. Common Stock,27.97,123357,,,5.61,,,,-6.62,,,,
ACM,AECOM Common Stock,88.04,177273,34.0,,4.7,,0.92,,16.6,,1.03,,
ACN,Accenture plc Class A Ordinary Shares (Ireland),263.73,794650,23.94,,7.23,,2.71,,15.83,,2.62,,
ACNB,ACNB Corporation Common Stock,36.8,192,8.87,,1.28,,2.98,,,,,,
ACNT,Ascent Industries Co. Common Stock,9.92,423,3.64,,0.81,,0.26,,4.37,,0.5,,
ACOR,Acorda Therapeutics Inc. Common Stock,0.916,12130,0.94,,0.3,,0.12,,-15.48,,1.58,,
ACR,ACRES Commercial Realty Corp. Common Stock,9.73,8349,16.08,,0.19,,1.42,,,,,,
ACRE,Ares Commercial Real Estate Corporation Common Stock,11.22,439655,19.65,,0.82,,5.35,,,,14.57,,
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,1.28,71073,0.23,,0.39,,6.74,,0.15,,4.99,,
ACST,Acasti Pharma Inc. Class A Common Stock,0.4803,52217,,,0.25,,,,0.25,,,,
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,4.38,55485,9.12,,0.74,,3.77,,-1.02,,-1.33,,
ACU,Acme United Corporation. Common Stock,24.43,908,15.94,,1.11,,0.48,,11.51,,0.79,,
ACVA,ACV Auctions Inc. Class A Common Stock,11.779,174650,,,3.86,,4.41,,-16.92,,3.6,,
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,1.645,69454,,,2.46,,15.44,,-0.59,,5.77,,
ADBE,Adobe Inc. Common Stock,329.8201,1658046,32.02,,10.54,,8.65,,21.01,,8.33,,
ADC,Agree Realty Corporation Common Stock,70.23,149629,38.28,,1.42,,12.9,,21.76,,19.55,,
ADD,Color Star Technology Co. Ltd. Ordinary Shares,2.0292,171694,,,0.36,,0.43,,-0.23,,1.0,,
ADEA,Adeia Inc. Common Stock,9.89,82144,7.64,,3.43,,2.41,,5.25,,3.77,,
ADES,Advanced Emissions Solutions Inc. Common Stock,2.88,10127,4.48,,0.59,,0.55,,2.39,,0.2,,
ADI,Analog Devices Inc. Common Stock,181.13,828359,27.74,,2.54,,7.55,,15.3,,7.75,,
ADM,Archer-Daniels-Midland Company Common Stock,80.38,1132691,10.32,,1.8,,0.44,,7.94,,0.52,,
ADMA,ADMA Biologics Inc Common Stock,3.525,399656,,,7.7,,5.16,,-19.05,,6.83,,
ADMP,Adamis Pharmaceuticals Corporation Common Stock,0.1498,2160168,,,15.3,,30.04,,-1.45,,28.74,,
ADN,Advent Technologies Holdings Inc. Class A Common Stock,1.725,77268,,,0.9,,10.89,,-0.34,,1.89,,
ADNT,Adient plc Ordinary Shares ,42.56,390869,,,1.73,,0.29,,8.99,,0.42,,
ADP,Automatic Data Processing Inc. Common Stock,221.33,586027,29.23,,30.5,,5.51,,19.61,,5.58,,
ADPT,Adaptive Biotechnologies Corporation Common Stock,8.355,268468,43.96,,2.6,,6.48,,-4.66,,4.41,,
ADSK,Autodesk Inc. Common Stock,199.385,558049,51.95,,37.01,,8.55,,37.72,,8.58,,
ADT,ADT Inc. Common Stock,7.545,558367,,,2.15,,1.1,,7.59,,2.61,,
ADTN,ADTRAN Holdings Inc. Common Stock,16.5,93592,,,1.3,,1.01,,,,1.3,,
ADTX,Aditxt Inc. Common Stock,1.12,31100,,,0.4,,1.33,,0.02,,-0.72,,
ADX,Adams Diversified Equity Fund Inc.,15.2162,64835,,,0.88,,,,,,,,
AE,Adams Resources & Energy Inc. Common Stock,58.07,12110,18.79,,0.84,,0.08,,2.32,,0.03,,
AEE,Ameren Corporation Common Stock,81.74,381670,19.57,,2.02,,2.64,,11.42,,4.56,,
AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,0.87,1947,,,3.71,,0.13,,-0.47,,0.07,,
AEHR,Aehr Test Systems Common Stock,30.68,7953564,81.8,,17.63,,16.99,,77.87,,15.77,,
AEI,Alset Inc. Common Stock (TX),1.9455,3314,0.42,,0.12,,1.58,,1.57,,-13.51,,
AEIS,Advanced Energy Industries Inc. Common Stock,92.66,143159,17.4,,3.27,,1.9,,11.7,,1.9,,
AEM,Agnico Eagle Mines Limited Common Stock,46.805,769754,30.65,,1.32,,3.58,,9.57,,3.82,,
AEMD,Aethlon Medical Inc. Common Stock,0.4679,37504,,,0.67,,879.83,,0.36,,-357.29,,
AEO,American Eagle Outfitters Inc. Common Stock,14.46,2748014,23.16,,1.81,,0.58,,9.5,,0.88,,
AER,AerCap Holdings N.V. Ordinary Shares,65.6395,736364,3.02,,1.0,,2.23,,16.01,,9.44,,
